Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://www.bioassayontology.org/bao#BAO_1000001,BJeLR,2635,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"BJeLR=BJ derivative also transformed with HRASV12; BJ fibroblasts were derived from primary human cells by transformation with hTERT, genomic SV40 Large T (LT) and Ssmall T (ST)","PubChem probe report: http://www.ncbi.nlm.nih.gov/books/NBK98919/ 
PubMed:  http://www.ncbi.nlm.nih.gov/pubmed/18355723 ",subclass,6/23/16
http://www.bioassayontology.org/bao#BAO_1000002,BJeH,493051,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"BJeH=BJ derivative transformed only with hTERT (BJ fibroblasts were derived from primary human cells by transformation with hTERT, genomic SV40 Large T (LT) and Ssmall T (ST))","PubChem probe report: http://www.ncbi.nlm.nih.gov/books/NBK98919/ 
PubMed:  http://www.ncbi.nlm.nih.gov/pubmed/18355723 ",subclass,6/23/16
http://www.bioassayontology.org/bao#BAO_1000003,RS-11846,743410,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,A human follicular lymphoms cell line,http://cellfinder.org/ontology?id=CELDA_00012667,subclass,5/23/16
http://www.bioassayontology.org/bao#BAO_1000004,CHO-S,624379,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"A derivative of the CHO cell line that is adapted to high-density, serum-free suspension culture",https://www.thermofisher.com/order/catalog/product/R80007,subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_1000005,DRD,2633,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"DRD=BJ fibroblasts expressing hTERT, SV40 small T oncoprotein,  dominant negative p53, cyclin D1,  a mutant form of CDK4, along with the oncogene HRASV12","PubChem probe report: http://www.ncbi.nlm.nih.gov/books/NBK98919/ 
PubMed:  http://www.ncbi.nlm.nih.gov/pubmed/18355723 ",subclass,6/23/16
http://www.bioassayontology.org/bao#BAO_1000006,HL2/3,504574,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,HL2/3 is a derivative of HeLa cells and contains a stably integrated copies of the HIV-1 molecular clone HXB2/3gpt.,"https://www.aidsreagent.org/reagentdetail.cfm?t=cell_lines&id=83
PMID 2078409",subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_1000007,HeLa-MAGI-CCR5,504341,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"HeLa-MAGI-CCR5 cells are derived from HeLa cells and express human CD4, CXCR4 and CCR5, and an integrated gene encoding the b-galactosidase gene expressed from the HIV long terminal repeat.",http://web.expasy.org/cellosaurus/CVCL_D260,subclass,
http://www.bioassayontology.org/bao#BAO_1000008,HeLa-R5-16,504341,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"HeLa-R5-16 (gift from Roche Palo Alto, LLC) is a derivative of HeLa cells, engineered to express the Envelope protein (Env) from the CCR5-tropic HIV-1 clinical isolate 92US715, and also to express the Tat protein from HIV-1 NL4 3",http://jbx.sagepub.com/content/11/1/65.long PMID 16314403,subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_1000009,RD-HGA16,624467,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"RD-HGA16 is derivative of CHO cells stably transfected with the promiscuous G-protein G_16 gene and hygromycin-resistant. RD-HGA16 is from FLIPR LiveWare Cells (Molecular Devices, Sunnyvale CA), a series of cells and expression vectors successfully used in drug discovery, based on G-protein chimeras developed by Bruce Conklin and colleagues at the Gladstone Institute, UCSF. ","https://www.moleculardevices.com/reagents-supplies/assay-kits/gpcr-assays/liveware
http://go.pardot.com/l/83942/2015-06-17/njr/83942/4464/Data_Sheet__FLIPR_LiveWare_G_protein_Cells_and_Plasmids.pdf",subclass,6/24/16
http://www.bioassayontology.org/bao#CLO_0009047,SK-MEL-5,488899,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"SK-MEL-5 is one of a series of melanoma cell lines. This cell line, established in 1974 from a metastatic site (axillary lymph node) in a 24-year-old Caucasian female with malignant melanoma, expresses mutant B-Raf (V600E) and wildtype N-Ras.",http://web.expasy.org/cellosaurus/CVCL_0527,subclass,6/14/16
http://www.bioassayontology.org/bao#BAO_1000010,SNB-75,652144,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"SNB-75 is a human glioblastoma cell line, part of the NCI-60 screening panel.","http://www.ncbi.nlm.nih.gov/pubmed/3121170
http://web.expasy.org/cellosaurus/CVCL_1706
https://strap.nci.nih.gov/celline_detail.php?sample_id=56",subclass,6/23/16
http://www.bioassayontology.org/bao#BAO_1000011,Sufu-KO-LIGHT,588413,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"Sufu-KO-LIGHT cells were derived from Sufu knockout mouse embryonic fibroblasts according to the method of Chen et al. [Genes Dev. 2009;23(16): 1910-28.] The cells were co-transfected with the zeocin resistance vector (pVgRXR, Invitrogen) and a firefly luciferase reporter driven by eight Gli binding sites and a _-crystallin basal promoter (8XGHBS-FL).  Sufu-KO-LIGHT lacks Sufu and exhibits constitutive Hh target gene expression in response to endogenous Gli activators.","http://www.ncbi.nlm.nih.gov/books/NBK158949/?report=reader
Patent (source of full descr): http://www.google.com/patents/WO2013192301A1?cl=en",subclass,6/24/16
http://www.bioassayontology.org/bao#CLO_0009215,SW403,504653,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,SW403 is a human colon adenocarcinoma cell line,http://web.expasy.org/cellosaurus/CVCL_0545,subclass,6/25/16
http://www.bioassayontology.org/bao#BAO_1000012,Ub-G76V-GFP/HeLa,463185,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,HeLa cells expressing ubiquitinated GFP (Green Fluroescent Protein),,subclass,6/25/16
http://www.bioassayontology.org/bao#BAO_1000013,LEADING LIGHT Wnt Reporter Cell Line,651570,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"An engineered 3T3 mouse fibroblast cell line, which expresses the firefly luciferase reporter gene under the control of Wnt-responsive promoters (TCF/LEF).",http://www.enzolifesciences.com/ENZ-61001/leading-light-wnt-reporter-assay-starter-kit/,subclass,6/24/16
http://www.bioassayontology.org/bao#BAO_1000014,697 cell,435022,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,,http://purl.obolibrary.org/obo/CLO_0001008,subclass,7/14/16
http://www.bioassayontology.org/bao#BAO_1000015,Calu-1 cell,602144,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,,http://purl.obolibrary.org/obo/CLO_0002191,subclass,7/8/16
http://www.bioassayontology.org/bao#BAO_1000016,CHL-1 cell,504412,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,,http://purl.obolibrary.org/obo/CLO_0002420,subclass,7/6/16
http://www.bioassayontology.org/bao#BAO_1000015,DPX2 cell,434939,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"DPX2 (aka DPX-2) is a HepG2-derived cell line stably integrated with a PXR (pregnane X receptor) expression vector plus a luciferase reporter, used to detect PXR activation/ CYP3A induction","http://www.ncbi.nlm.nih.gov/pubmed/15548381
http://www.ncbi.nlm.nih.gov/pubmed/22912432",subclass,7/1/16
http://www.bioassayontology.org/bao#BAO_1000016,FA2N-4 cell,623928,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,FA2N-4 is a human hepatocyte cell line; http://web.expasy.org/cellosaurus/CVCL_0267,"http://purl.bioontology.org/ontology/MCCL/MCC_0000158
http://cellfinder.org/ontology?id=CF_194407
http://web.expasy.org/cellosaurus/CVCL_0267",subclass,7/6/16
http://www.bioassayontology.org/bao#BAO_1000017,HMC-1-8,449755,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,HMC-1-8 is a human breast cancer cell line,"http://web.expasy.org/cellosaurus/CVCL_2949
http://portals.broadinstitute.org/ccle/cell%20lines/HMC18_BREAST",subclass,7/3/16
http://www.bioassayontology.org/bao#BAO_1000018,HMLE_sh_ECAD ,2717,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"HMLE_sh_ECAD is a stable cell line mimicking a cancer stem cell (CSC), derived by knocking down E-Cadherin (via shRNA) in human breast epithelial cells to induce epithelial to mesenchymal transition (EMT)","http://www.ncbi.nlm.nih.gov/pubmed/22941295
http://www.ncbi.nlm.nih.gov/pubmed/19682730",subclass,7/18/16
http://www.bioassayontology.org/bao#BAO_1000019,HMLE_sh_eGFP,463074,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,HMLE_sh_eGFP is a human breast epithelial cell line containing shRNA to GFP (green fluorescent reporter); used as an isogenic control line for HMLE_sh_ECAD ,"http://www.ncbi.nlm.nih.gov/pubmed/22941295
http://www.ncbi.nlm.nih.gov/pubmed/19682730",subclass,7/18/16
http://www.bioassayontology.org/bao#BAO_1000020,HMLE_sh_TWIST,588703,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,"HMLE_sh_TWIST is a stable cell line mimicking a cancer stem cell (CSC), derived by knocking down TWIST (via shRNA) in human breast epithelial cells to induce epithelial to mesenchymal transition (EMT); isogenic with another CSC line, HMLE_sh_ECAD ","http://www.ncbi.nlm.nih.gov/pubmed/22941295
http://www.ncbi.nlm.nih.gov/pubmed/19682730",subclass,7/18/16
http://www.bioassayontology.org/bao#BAO_1000021,L6 cell,651895,immortal cell line cell,http://purl.obolibrary.org/obo/CLO_0000019,,,http://purl.obolibrary.org/obo/CLO_0007203,subclass,7/11/16
