Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://www.bioassayontology.org/bao#BAO_0040011,molecular abundance method,,assay design method,http://www.bioassayontology.org/bao#BAO_0002202,,"Any  method that simply measures the overall abundance (concentration, relative amount, etc) of a particular molecule (lipids, second messenger, nucleic acid, protein, etc.)",,subclass,6/28/16
http://www.bioassayontology.org/bao#BAO_0040012,second messenger abundance,651719,assay design method,http://www.bioassayontology.org/bao#BAO_0040011,molecular abundance method,"Second messengers relay and amplify signals from receptors to the cell interior as part of a signaling event. Examples include cAMP, cGMP, calcium, nitric oxide, diacylglycerol, etc. Levels of these second messengers are measured to reflect strength of the signaling. ",,subclass,6/7/16
http://www.bioassayontology.org/bao#BAO_0040013,lipid abundance method,1656,assay design method,http://www.bioassayontology.org/bao#BAO_0040011,molecular abundance method,"Measuring lipid abundance could include mass spec-based methods and lipid droplet formation, a fluorescent intensity+image analysis assay to measure lipid stored in droplets within a cell,",,subclass,5/21/16
http://www.bioassayontology.org/bao#BAO_0040014,protein abundance method,,assay design method,http://www.bioassayontology.org/bao#BAO_0040011,molecular abundance method,,,subclass,6/28/16
http://www.bioassayontology.org/bao#BAO_0040015,cell density determination,775,viability measurement method,http://www.bioassayontology.org/bao#BAO_0000127,,"Cell density, typically measured by absorbance (often indicated as A600 or OD600), is often used for bacterial or fungal cultures as an indication of cell number, viability or proliferation.",,subclass,6/15/16
http://www.bioassayontology.org/bao#BAO_0040016,Beta-galactosidase activity measurement method,652176,direct enzyme activity measurement method,http://www.bioassayontology.org/bao#BAO_0000139,,Beta-galactosidase activity measurement method,,subclass,5/23/16
http://www.bioassayontology.org/bao#BAO_0040017,DNA or RNA abundance method,463235,molecular abundance method,http://www.bioassayontology.org/bao#BAO_0040011,,"Any  method that simply measures the overall abundance (concentration, relative amount, etc) of a nucleic acid (DNA or RNA), typically via hybridization methods",,subclass,5/11/16
http://www.bioassayontology.org/bao#BAO_0040018,small molecule abundance method,504605,molecular abundance method,http://www.bioassayontology.org/bao#BAO_0040011,,"Any  method that simply measures the overall abundance (concentration, relative amount, etc) of a small molecule, such as LC-MS/MS or LC-UV. Typically used in both in vitro and in vivo ADME assays to monitor compound.",,subclass,6/6/16
http://www.bioassayontology.org/bao#BAO_0040019,cellular morphology assessment method,463200,morphology assessment method,http://www.bioassayontology.org/bao#BAO_0000448,,Any method that measures the size and shape of whole cells. Typically detected by microscopy or flow cytometry,,subclass,
http://www.bioassayontology.org/bao#BAO_0040020,sub-cellular morphology assessment method,463200,morphology assessment method,http://www.bioassayontology.org/bao#BAO_0000448,,"Any method that measures the size and shape of structures or organelles within cells, such as nuclei, mitochindria, Golgi, ER or vesicles. Typically detected by microscopy or flow cytometry",,subclass,
