Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://www.bioassayontology.org/bao#BAO_00100012¾,12 well plate,485336,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,,,subclass,6/21/16
http://www.bioassayontology.org/bao#BAO_00100013,6 well plate,2545,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,,,subclass,6/26/16
http://www.bioassayontology.org/bao#BAO_00100014,tube,588412,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,,,subclass,5/31/16
http://www.bioassayontology.org/bao#BAO_00100015,microscope slide,588370,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,,,subclass,6/1/16
http://www.bioassayontology.org/bao#BAO_00100016,dish,623915,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,,,subclass,5/13/16
http://www.bioassayontology.org/bao#BAO_00100017,15 cm dish,623915,,http://www.bioassayontology.org/bao#BAO_00100016,dish,,,subclass,5/13/16
http://www.bioassayontology.org/bao#BAO_00100018,gel,449751,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,"Gel electrophoresis is a method for separation and analysis of macromolecules (DNA, RNA and proteins) and their fragments, based on their size and charge. This general method encompasses different types of matrices (gels) with different properties. The most common types are polyacrylamide and agarose, both low-throughput methods.",,subclass,6/2/16
http://www.bioassayontology.org/bao#BAO_00100019,PAGE,449751,,http://www.bioassayontology.org/bao#BAO_00100018,gel,"Polyacrylamide gel electrophoresis (PAGE), describes a technique to separate biological macromolecules, usually proteins or nucleic acids, according to their electrophoretic mobility. Mobility is a function of the length, conformation and charge of the molecule.  Gels can be native or denaturing (urea for nucleic acids, SDS for proteins).  A low-throughput method.",,subclass,6/2/16
http://www.bioassayontology.org/bao#BAO_00100020,agarose gel,,,http://www.bioassayontology.org/bao#BAO_00100018,gel,"Agarose gel electrophoresis is a method to separate a mixed population of DNA or proteins in a matrix of agarose. The proteins may be separated by charge and/or size, and the DNA and RNA fragments by length, by applying an electric field to move the charged molecules through an agarose matrix.  A low-throughput method.",,subclass,
http://www.bioassayontology.org/bao#BAO_00100021,coverslip,1219,assay footprint,http://www.bioassayontology.org/bao#BAO_0000512,,Coverslips are typically thin square pieces of glass,,subclass,7/2/16
http://www.bioassayontology.org/bao#BAO_00100022,16-well ,602291,microplate,http://www.bioassayontology.org/bao#BAO_0000508,,,,subclass,7/22/16
