Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://www.bioassayontology.org/bao#BAO_0140009,CytoTox-Glo (Promega),435031,assay kit,http://www.bioassayontology.org/bao#BAO_0140017,Glo'-type assay by Promega for luminescent detection,"CytoTox-Glo Cytotoxicity Assay (Promega) uses a luminogenic peptide substrate of luciferase, the AAF-Glo Substrate, to measure dead-cell protease activity, which is released from cells that have lost membrane integrity. ",https://www.promega.com/resources/protocols/technical-bulletins/101/cytotox-glo-cytotoxicity-assay-protocol/,subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_0140010,CAT ELISA (Roche/ Sigma-Aldrich),624301,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,,The CAT ELISA is used to quantitatively measure CAT expression in eukaryotic cells that are transfected with a plasmid bearing a CAT-encoding reporter gene.,http://www.sigmaaldrich.com/catalog/product/roche/11363727001?lang=en&region=US,subclass,6/1/16
http://www.bioassayontology.org/bao#BAO_0140011,ACTOne cAMP biosensor assay (BD Biosciences; CodexBIosolutions),651719,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,,"This assay  directly
measures the intracellular concentration of
the second messenger cAMPin living cells, in real-time. It works with cell lines that contain a proprietary exogenous Cyclic Nucleotide-Gated (CNG) channel (BD Biosciences,  sold to CodexBiosolutions; both in Maryland). The channel is activated by elevated intracellular levels of cAMP, resulting in ion flux (detectable by calcium-responsive dyes) and cell membrane depolarization which can be detected with a fluorescent membrane potential (MP) dye.","http://codexbiosolutions.com/index.php
http://www.bdbiosciences.com/ds/ab/others/SF47641.pdf",subclass,6/7/16
http://www.bioassayontology.org/bao#BAO_0140012,CellTiter-Blue Cell Viability Assay (Promega),1063,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,,"The CellTiter-Blue Cell Viability Assay provides a homogeneous, fluorescent method for monitoring cell viability. The assay is based on the ability of living cells to convert a redox dye (resazurin) into a fluorescent end product (resorufin)",https://www.promega.com/products/cell-health-and-metabolism/cell-viability-assays/celltiter_blue-cell-viability-assay/,subclass,5/27/16
http://www.bioassayontology.org/bao#BAO_0140013,Gal-Screen Beta-Galactosidase Reporter Gene Assay system,2788,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,,"The Gal-Screen assay system combines direct cell lysis with rapid, ultra-sensitive chemiluminescent detection of _-galactosidase reporter enzyme. ",https://www.thermofisher.com/order/catalog/product/T1028,subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_0140014,QuantiTect SYBR Green PCR Kits (Qiagen/Thermo-Fisher),504907,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,qPCR system,"Real-time PCR (or RT-PCR) for quantitation of DNA (or RNA, respectively) using the fluorescent dye SYBR green that binds dsDNA and emits fluorescence only when bound.",https://www.qiagen.com/us/shop/pcr/real-time-pcr-enzymes-and-kits/two-step-qrt-pcr/quantitect-sybr-green-pcr-kits/#orderinginformation,subclass,6/26/16
http://www.bioassayontology.org/bao#BAO_0140015,TaqMan Real-Time PCR assays (Thermo-Fisher),720492,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,qPCR system,"Real-time PCR (or RT-PCR) for quantitation of DNA (or RNA, respectively) using a pair of unlabeled PCR primers and a 'TaqMan' fluorogenic probe  labeled on the 5' end and minor groove binder (MGB) and nonfluorescent quencher (NFQ) on the 3' end, to detect target as it accumulates during PCR.",https://www.thermofisher.com/us/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,subclass,6/13/16
http://www.bioassayontology.org/bao#BAO_0140016,Ultra-Glo Luciferin Detection (Promega),488901,assay kit,http://www.bioassayontology.org/bao#BAO_0140017,Glo'-type assay for measuring luminescence (Promega),Ultra-Glo (Promega) is a thermostable recombinant luciferase that can be coupled with different luciferin-based substrates to generate a luminescent signal proportional to the substrate abundance.,,subclass,6/26/16
http://www.bioassayontology.org/bao#BAO_0140017,Luciferase-based ('Glo') Assay System (Promega),624307,assay kit,http://www.bioassayontology.org/bao#BAO_0000248,,"An assay system (Promega) based on the bioluminescent enzyme luciferase's catalysis of the substrate luciferin to generate light, adapted for multiple applications, such as cell viability, apoptosis, or kinase, cytochrome P450, or proteasome activity. ",,subclass,6/1/16
