Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://purl.obolibrary.org/obo/NCBITaxon_10029,Cricetulus griseus,662,organism,http://www.bioassayontology.org/bao#BAO_0000551,,hamster,,subclass,5/26/16
http://purl.obolibrary.org/obo/NCBITaxon_10298,Human Herpes virus 1,624379,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,6/22/16
http://purl.obolibrary.org/obo/NCBITaxon_469,Acinetobacter,624096,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,http://purl.bioontology.org/ontology/NCBITAXON/469,subclass,7/6/16
http://purl.obolibrary.org/obo/NCBITaxon_1392,Bacillus anthracis,588501,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/20/16
http://purl.obolibrary.org/obo/NCBITaxon_1710587,Cavia porcellus,602172,organism,http://www.bioassayontology.org/bao#BAO_0000551,,guinea pig,,subclass,7/1/16
http://purl.obolibrary.org/obo/NCBITaxon_1491,Clostridium botulinum,588459,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/20/16
http://purl.obolibrary.org/obo/NCBITaxon_5207,Cryptococcus neoformans,651654,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/9/16
http://purl.obolibrary.org/obo/NCBITaxon_210,Helicobacter pylori,435030,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/19/16
http://purl.obolibrary.org/obo/NCBITaxon_573,Klebsiella pneumoniae,624082,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/6/16
http://purl.obolibrary.org/obo/NCBITaxon_1710587,Photuris pennsylvanica,588847,organism,http://www.bioassayontology.org/bao#BAO_0000551,,,,subclass,7/21/16
