Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
ID,A rdfs:label,A IAO:0000119,,CI,,A IAO:0000115,A IAO:0000119,CLASS_TYPE,A IAO:0000116
http://www.bioassayontology.org/bao#BAO_0080001,TC50,2649,result,http://www.bioassayontology.org/bao#BAO_0000179,,"The concentration of compound required to kill 50%æof a cell population (i.e., 50% inhibitory concentration in a cytotoxicity assay).",,subclass,6/22/16
http://www.bioassayontology.org/bao#BAO_0080002,TCID50,2024,concentration response endpoint,http://www.bioassayontology.org/bao#BAO_0002162,,50% Tissue Culture Infective Dose (TCID50) is the measure of infectious virus titer. This endpoint dilution assay quantifies the amount of virus required to kill 50% of infected hosts or to produce a cytopathic effect in 50% of inoculated tissue culture cells.,,subclass,7/21/16
http://www.bioassayontology.org/bao#BAO_0080003,Protein Fold change,,result,http://www.bioassayontology.org/bao#BAO_0000179,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080004,O2 Concentration,,result,http://www.bioassayontology.org/bao#BAO_0000180,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080005,glucose Concentration,,result,http://www.bioassayontology.org/bao#BAO_0000181,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080006,pH Concentration,,result,http://www.bioassayontology.org/bao#BAO_0000182,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080007,ATP Concentration,,result,http://www.bioassayontology.org/bao#BAO_0000183,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080008,Protein Fluorescence Intensity Readout,,result,http://www.bioassayontology.org/bao#BAO_0000184,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080009,Protein Luminescence Intensity Readout,,result,http://www.bioassayontology.org/bao#BAO_0000185,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080010,Apoptotic Cells Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000186,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080011,Dead Cells Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000187,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080012,mitotic cells Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000188,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080013,S-phase cells Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000189,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080014,Cell Viability Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000190,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080015,Cell Proliferation Percentage,,result,http://www.bioassayontology.org/bao#BAO_0000191,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080016,Cytological Features,,result,http://www.bioassayontology.org/bao#BAO_0000192,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080017,Percent Inhibition,,result,http://www.bioassayontology.org/bao#BAO_0000193,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080018,Fluorescence Intensity,,result,http://www.bioassayontology.org/bao#BAO_0000194,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080019,RNA Fold Change,,result,http://www.bioassayontology.org/bao#BAO_0000195,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080020,Protein Intensity Readout,,result,http://www.bioassayontology.org/bao#BAO_0000196,,,,subclass,
http://www.bioassayontology.org/bao#BAO_0080021,IC50,,result,http://www.bioassayontology.org/bao#BAO_0000197,,,,subclass,
